beta = 0.135 	 Energy = -2.8518480544787583
beta = 0.26 	 Energy = -2.855317446334893
beta = 0.385 	 Energy = -2.8422234972821117
beta = 0.51 	 Energy = -2.860644599751807
beta = 0.635 	 Energy = -2.8675210895981
beta = 0.76 	 Energy = -2.8248763946551465
beta = 0.885 	 Energy = -2.815197305270323
beta = 1.01 	 Energy = -2.8444495272263213
beta = 1.135 	 Energy = -2.831321984736222
beta = 1.26 	 Energy = -2.7919488892956776
beta = 1.385 	 Energy = -2.802093069923148
beta = 1.51 	 Energy = -2.800970197782636
beta = 1.635 	 Energy = -2.8074771812549737
beta = 1.76 	 Energy = -2.816387859370795
beta = 1.885 	 Energy = -2.8229212673352153
beta = 2.01 	 Energy = -2.8428260140205235
beta = 2.135 	 Energy = -2.8044186238876323
beta = 2.26 	 Energy = -2.7918766411394977
beta = 2.385 	 Energy = -2.766200325197676
beta = 2.51 	 Energy = -2.7444529852758013
beta = 2.635 	 Energy = -2.7540081447149887
beta = 2.76 	 Energy = -2.8279777236971717
beta = 2.885 	 Energy = -2.776150082076542
beta = 3.01 	 Energy = -2.7781100480628336
